Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
195113,274432556,-13,1,42.2279,20.2146,34.1373,-14.4639,-0.356946,1.03617,-13,1,20.2471,-3.08297,-19.9456,-1.61281,-0.0798265,-1.72415,13,-1,18.9152,-15.727,-7.85753,6.9782,0.387179,-2.67825,13,-1,8.58468,0.0145894,-8.43122,-1.61245,-0.1901,-1.56907
195113,311362990,-13,1,50.2785,15.8996,-18.0519,44.1502,1.36748,-0.848707,13,-1,35.9236,-16.0088,-0.378253,32.1569,1.44727,-3.11797,-11,1,218.469,-28.0978,-96.7928,193.831,1.40873,-1.85332,11,-1,179.817,-34.8748,14.8548,175.777,2.23866,2.73892
196364,888031523,-13,1,76.5285,23.0317,-29.3789,66.8058,1.34536,-0.905916,13,-1,23.2549,5.64674,20.9212,8.43784,0.380158,1.30717,13,-1,18.899,4.7979,17.0011,6.71575,0.37156,1.29574,-13,1,13.9316,3.62513,12.4892,4.99549,0.37526,1.2883
194076,680692357,13,-1,36.9725,-32.4761,-4.01268,-17.2092,-0.50426,-3.01866,13,-1,31.571,16.404,1.91469,26.9065,1.26435,0.116195,-13,1,19.6824,6.85175,8.98085,16.1178,1.15349,0.919072,-13,1,14.0627,5.52718,1.41723,12.8526,1.55116,0.251003
195655,477289466,13,-1,76.728,-45.8832,43.1726,43.7954,0.648691,2.38662,13,-1,144.057,5.24878,-53.3752,133.701,1.64459,-1.47277,-13,1,61.8332,15.5826,29.7621,51.9107,1.21958,1.08847,-13,1,28.0584,21.1239,-11.0511,14.7958,0.586433,-0.482002
195915,1155437941,-13,1,134.95,-28.5922,37.1837,126.536,1.71824,2.22631,13,-1,45.5073,9.39321,-21.8622,38.7907,1.26489,-1.16499,-13,1,40.4516,6.81329,-20.3708,34.2773,1.24674,-1.24803,13,-1,19.4867,10.2004,10.2366,-13.0723,-0.812269,0.787171
194912,1347277781,13,-1,144.716,20.0741,88.6197,-112.634,-1.04106,1.34804,13,-1,98.6768,-43.7252,-79.4678,38.8597,0.416299,-2.07381,-13,1,36.1382,-23.5768,-14.5603,-23.1967,-0.761385,-2.58836,-13,1,36.6155,17.1686,-11.7516,-30.1301,-1.16568,-0.600235
195948,718068583,-13,1,116.996,18.08,38.2973,-109.062,-1.67481,1.12972,13,-1,69.0152,-12.2846,-25.6918,-62.8658,-1.53278,-2.01681,-11,1,29.1663,-5.9629,-7.71828,-27.4872,-1.75934,-2.22859,11,-1,24.8513,-5.8729,-6.65355,-23.2126,-1.68932,-2.29396
194115,624035096,-13,1,32.6412,22.0003,22.204,9.40243,0.296444,0.790006,13,-1,37.9435,-5.03362,-29.9775,-22.7092,-0.690813,-1.73716,-13,1,10.9803,-9.30901,3.07219,-4.94571,-0.485248,2.82282,13,-1,8.53686,-7.2374,2.63233,-3.68209,-0.461553,2.79275
195147,607057396,-13,1,294.56,-55.9612,-14.0248,-288.855,-2.31378,-2.89603,13,-1,35.2088,20.4017,-10.6682,-26.6384,-0.988187,-0.481805,-11,1,128.099,63.8082,9.08692,-110.704,-1.30972,0.141459,11,-1,41.7835,-29.2013,14.6669,-26.039,-0.730202,2.67613
