Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
171050,380173437,13,-1,18.3673,16.9817,-0.992905,-6.92699,-0.396726,-0.0584028,-13,1,14.3465,13.2381,-0.780585,-5.47314,-0.401821,-0.0588968,-11,1,46.5992,-46.4918,1.33274,-2.86694,-0.0616013,3.11293,11,-1,12.6821,12.0595,-1.02542,-3.78848,-0.30812,-0.0848258
172868,250290931,13,-1,161.009,18.6753,41.3049,154.496,1.94019,1.14617,-13,1,23.692,-6.21701,-18.4969,13.4355,0.64323,-1.89504,13,-1,11.1828,-2.4249,-7.22193,8.18583,0.933094,-1.89474,-13,1,7.9995,-3.13224,-4.48309,5.83711,0.928188,-2.18063
172802,298561359,13,-1,115.866,6.16548,62.8342,97.1529,1.21609,1.47299,-13,1,66.1604,0.232662,-57.143,33.3438,0.554634,-1.56672,-13,1,11.7022,-4.81693,-5.37418,-9.21115,-1.06393,-2.30157,13,-1,8.27899,-4.98099,-1.97825,-6.30927,-1.00131,-2.76354
172868,933807102,13,-1,165.08,-72.4362,-36.8636,-143.685,-1.33472,-2.67084,-13,1,52.6736,-35.0749,32.778,-21.6761,-0.437438,2.39003,-11,1,102.449,87.3719,52.3065,-11.2265,-0.110022,0.539437,11,-1,52.9591,34.6148,-32.7692,-23.0794,-0.46703,-0.758016
173198,326473222,-13,1,53.5163,-2.97962,48.3384,-22.7706,-0.454377,1.63236,13,-1,18.4963,12.4727,3.00706,-13.3225,-0.908253,0.236576,-11,1,17.5491,12.9722,-8.24246,-8.47082,-0.526488,-0.566037,11,-1,12.267,6.99859,-8.00282,-6.12005,-0.547843,-0.852241
173198,351795397,-13,1,184.317,54.5254,12.0361,-175.655,-1.86357,0.217259,13,-1,10.6742,3.42517,-9.42637,3.65234,0.356561,-1.22227,-13,1,6.21224,4.08357,2.92354,3.65488,0.675246,0.621336,11,-1,16.0586,-5.66378,-10.2403,10.9972,0.838126,-2.07601
167551,457216910,-13,1,17.6906,9.9397,8.76886,11.7156,0.796832,0.722896,13,-1,12.458,-11.3081,-3.91688,3.46068,0.285294,-2.80815,-13,1,7.24833,-5.98098,-3.88827,1.27916,0.178364,-2.56514,11,-1,45.9724,28.2609,21.0217,29.5444,0.762683,0.639551
171578,394814091,-13,1,104.203,-33.3488,41.667,89.4985,1.28908,2.24576,13,-1,74.2014,14.5544,-37.5659,62.3122,1.2204,-1.20117,-13,1,24.6235,8.22612,-1.4621,-23.1625,-1.74386,-0.175902,13,-1,16.133,7.03718,0.0328245,-14.5169,-1.4714,0.0046644
163071,11989798,13,-1,51.3027,12.1135,45.3808,20.635,0.426295,1.30995,-13,1,29.5797,0.930722,-17.3083,23.9688,1.12796,-1.51707,-13,1,17.4856,8.17879,-15.1028,3.27824,0.18973,-1.07447,13,-1,10.5101,5.33128,-8.83475,1.99378,0.192038,-1.02785
166049,369756834,13,-1,10.9477,-1.59893,-6.15116,-8.91339,-1.13941,-1.82511,-13,1,9.13187,1.61668,5.41239,-7.17441,-1.06009,1.28053,-13,1,9.29951,-1.80019,-5.01214,-7.62283,-1.15607,-1.91561,-11,1,16.7563,0.319366,-15.4997,-6.35852,-0.39944,-1.55019
166049,402820257,13,-1,98.8856,37.6771,-33.4774,-85.0767,-1.29471,-0.726443,-13,1,79.2164,-16.5739,44.6584,-63.2942,-1.09585,1.92617,13,-1,24.4075,6.74764,-2.8051,23.2877,1.87593,-0.39398,-11,1,16.9372,-7.66469,-12.7379,-8.11594,-0.521917,-2.11248
166512,337493970,13,-1,52.9826,-49.917,8.17082,15.7696,0.306925,2.97934,13,-1,72.1018,15.3284,21.3547,-67.1392,-1.66715,0.948222,-13,1,89.7552,10.3467,-20.2724,86.8214,2.04874,-1.09888,-13,1,30.2162,2.32913,-13.0684,27.144,1.46351,-1.39442
163583,2644519,-13,1,30.2788,-3.36997,-26.8919,13.5005,0.479542,-1.69546,13,-1,9.7174,-2.08481,-8.22985,4.72651,0.531367,-1.8189,11,-1,37.52,-7.56763,36.7245,-1.33748,-0.0356623,1.77402,-11,1,14.2692,1.82762,-11.5235,8.21447,0.655977,-1.41351
163738,54799996,-13,1,22.7598,-13.6828,-18.1659,-0.882594,-0.0387985,-2.21635,13,-1,8.5048,-4.90763,-6.92493,-0.53007,-0.0624117,-2.18733,-11,1,106.608,36.157,42.9909,-90.6075,-1.25584,0.871528,11,-1,19.2774,-13.3795,-13.7034,-2.19608,-0.114417,-2.34424
163237,41158481,-13,1,34.9352,-3.79754,-21.4673,-27.2982,-1.04895,-1.74588,13,-1,13.2384,5.95324,10.8178,4.77278,0.377502,1.06771,11,-1,23.1604,10.6964,18.8777,8.10096,0.365189,1.05528,-11,1,19.0242,-1.99355,-11.4848,-15.0347,-1.07222,-1.74266
163630,76107248,-13,1,133.391,30.3085,10.2643,129.496,2.10601,0.326538,13,-1,139.889,-22.6453,-19.0103,136.729,2.23598,-2.44324,-13,1,7.89447,-6.97875,3.6592,0.467711,0.0593201,2.65867,13,-1,5.61689,-4.37927,3.22923,1.3901,0.252779,2.50621
170899,11624501,-13,1,27.2482,-12.7566,9.25624,-22.2272,-1.14393,2.51389,13,-1,10.9382,-8.18394,-1.08707,-7.17455,-0.785669,-3.00954,13,-1,9.42518,3.69624,-6.76101,5.42673,0.656165,-1.07049,-13,1,11.3905,-2.16864,5.19091,-9.90375,-1.33107,1.96653
166950,17951487,-13,1,32.2467,8.92437,-19.1859,-24.333,-0.983538,-1.13541,13,-1,25.4294,3.59539,-20.1613,-15.0745,-0.681974,-1.39432,-13,1,12.6596,3.3433,-9.40524,-7.78574,-0.71697,-1.22925,13,-1,11.722,2.23627,-8.12324,-8.14906,-0.857988,-1.30216
172868,561993293,-13,1,19.5603,15.8161,5.57187,10.0697,0.569252,0.338714,13,-1,20.8412,14.81,1.77959,14.5548,0.864123,0.119588,-13,1,11.906,10.6449,3.64928,3.88725,0.338914,0.330264,13,-1,5.67769,4.71637,2.22848,2.23936,0.417097,0.441406
166554,395098004,13,-1,56.9386,-48.8868,-28.2899,7.19422,0.12703,-2.61699,-13,1,15.0973,13.6421,3.01871,5.71822,0.398618,0.217769,11,-1,13.6666,9.92125,-5.87347,-7.33812,-0.599842,-0.534523,-11,1,12.2028,-4.64496,7.93832,-8.01976,-0.787877,2.10021
166408,461057887,-13,1,45.3573,-31.9181,30.7093,-9.77014,-0.218832,2.37549,13,-1,19.5473,-13.297,14.1542,2.22122,0.114128,2.32498,-13,1,19.7756,-5.01908,-9.21153,-16.7636,-1.24794,-2.06969,13,-1,51.2981,8.49428,-4.76768,50.3646,2.34533,-0.511463
173198,1053695987,13,-1,68.2038,-6.6043,-61.8819,-27.9062,-0.434601,-1.67712,-11,1,239.499,-28.9089,75.9654,-225.285,-1.74367,1.93443,-11,1,100.214,-44.5913,63.1655,63.7545,0.751733,2.1855,11,-1,142.532,45.2938,8.93003,-134.848,-1.79315,0.194661
166950,1491724484,13,-1,33.7468,16.8681,-29.1201,2.51404,0.0746358,-1.04577,-13,1,107.174,-13.6052,15.0956,105.229,2.34679,2.30431,11,-1,65.4968,34.8201,34.7149,43.2698,0.793947,0.783884,-11,1,48.2976,-43.1704,-9.65137,19.3863,0.425307,-2.92164
170826,195122618,-13,1,61.7211,-21.4466,13.0493,-56.3847,-1.54853,2.59498,13,-1,11.1673,8.63831,-5.19821,4.80173,0.459895,-0.541714,13,-1,11.7995,3.94432,5.63546,-9.58648,-1.13429,0.96013,-13,1,27.9427,-1.90913,4.80897,-27.4593,-2.37095,1.94871
163630,27849485,-13,1,209.833,-48.2171,2.4549,204.204,2.14895,3.09072,-13,1,48.5384,18.8843,5.74042,44.3441,1.54881,0.295102,13,-1,62.7547,17.818,4.85475,59.9758,1.89398,0.266006,13,-1,21.1174,8.60833,3.12228,19.0284,1.47799,0.347948
165472,636444082,-13,1,68.6725,-12.6128,13.3835,-66.1642,-1.99225,2.32656,13,-1,34.0924,-7.57706,4.95578,-32.868,-2.00091,2.56238,-11,1,39.1262,-7.24113,5.70589,-38.0245,-2.12449,2.47422,11,-1,40.55,-5.98406,4.07761,-39.8982,-2.40782,2.54345
167913,212158818,13,-1,36.5948,35.3493,6.46228,6.91631,0.191298,0.180815,-13,1,39.9722,-33.8997,-8.51003,19.3947,0.529773,-2.89564,-11,1,10.941,10.6569,2.00413,1.45594,0.133865,0.185888,11,-1,10.3704,10.3283,0.755683,0.547509,0.0528445,0.0730359
171812,312243448,-13,1,35.0884,12.6725,-3.46305,-32.5362,-1.63853,-0.26676,13,-1,22.0646,8.53992,-2.63961,-20.1727,-1.55292,-0.299776,11,-1,44.6937,5.36204,-43.0235,-10.8516,-0.247747,-1.44681,-11,1,94.2481,33.6313,-11.755,-87.2551,-1.62819,-0.336254
166408,63163165,13,-1,106.435,19.6118,39.5116,96.864,1.52797,1.11007,-13,1,21.3022,1.30165,-17.8158,-11.605,-0.610935,-1.49786,-11,1,27.5176,-13.604,-9.58435,21.9155,1.08874,-2.52784,11,-1,13.4613,-5.99207,-9.44762,7.4862,0.627212,-2.13601
